,Date,Store_Number,Transaction_Count,target_pct,met_target,bonus_payable,month,day_of_week,year
16907,2014-01-01,25,840,0.336,False,False,1,2,2014
16908,2014-01-01,36,487,0.1948,False,False,1,2,2014
16909,2014-01-02,1,1875,0.75,False,False,1,3,2014
16910,2014-01-02,2,2122,0.8488,False,False,1,3,2014
16911,2014-01-02,3,3350,1.34,True,False,1,3,2014
16912,2014-01-02,4,1661,0.6644,False,False,1,3,2014
16913,2014-01-02,5,1807,0.7228,False,False,1,3,2014
16914,2014-01-02,6,2051,0.8204,False,False,1,3,2014
16915,2014-01-02,7,1836,0.7344,False,False,1,3,2014
16916,2014-01-02,8,3049,1.2196,True,False,1,3,2014
16917,2014-01-02,9,2497,0.9988,False,False,1,3,2014
16918,2014-01-02,10,1320,0.528,False,False,1,3,2014
16919,2014-01-02,11,2863,1.1452,True,False,1,3,2014
16920,2014-01-02,12,1309,0.5236,False,False,1,3,2014
16921,2014-01-02,13,1108,0.4432,False,False,1,3,2014
16922,2014-01-02,14,1903,0.7612,False,False,1,3,2014
16923,2014-01-02,15,1497,0.5988,False,False,1,3,2014
16924,2014-01-02,16,1157,0.4628,False,False,1,3,2014
16925,2014-01-02,17,1492,0.5968,False,False,1,3,2014
16926,2014-01-02,18,1409,0.5636,False,False,1,3,2014
16927,2014-01-02,19,1368,0.5472,False,False,1,3,2014
16928,2014-01-02,23,1302,0.5208,False,False,1,3,2014
16929,2014-01-02,24,2472,0.9888,False,False,1,3,2014
16930,2014-01-02,25,1315,0.526,False,False,1,3,2014
16931,2014-01-02,26,790,0.316,False,False,1,3,2014
16932,2014-01-02,27,1391,0.5564,False,False,1,3,2014
16933,2014-01-02,28,1112,0.4448,False,False,1,3,2014
16934,2014-01-02,30,758,0.3032,False,False,1,3,2014
16935,2014-01-02,31,1471,0.5884,False,False,1,3,2014
16936,2014-01-02,33,1213,0.4852,False,False,1,3,2014
16937,2014-01-02,34,2846,1.1384,True,False,1,3,2014
16938,2014-01-02,35,731,0.2924,False,False,1,3,2014
16939,2014-01-02,36,1116,0.4464,False,False,1,3,2014
16940,2014-01-02,37,1856,0.7424,False,False,1,3,2014
16941,2014-01-02,38,2038,0.8152,False,False,1,3,2014
16942,2014-01-02,39,1563,0.6252,False,False,1,3,2014
16943,2014-01-02,40,1405,0.562,False,False,1,3,2014
16944,2014-01-02,41,1110,0.444,False,False,1,3,2014
16945,2014-01-02,43,1510,0.604,False,False,1,3,2014
16946,2014-01-02,44,4422,1.7688,True,False,1,3,2014
16947,2014-01-02,45,4235,1.694,True,False,1,3,2014
16948,2014-01-02,46,4210,1.684,True,False,1,3,2014
16949,2014-01-02,47,4334,1.7336,True,False,1,3,2014
16950,2014-01-02,48,3643,1.4572,True,False,1,3,2014
16951,2014-01-02,49,2463,0.9852,False,False,1,3,2014
16952,2014-01-02,50,2925,1.17,True,False,1,3,2014
16953,2014-01-02,51,1884,0.7536,False,False,1,3,2014
16954,2014-01-02,54,927,0.3708,False,False,1,3,2014
16955,2014-01-03,1,1817,0.7268,False,False,1,4,2014
16956,2014-01-03,2,2090,0.836,False,False,1,4,2014
16957,2014-01-03,3,3347,1.3388,True,False,1,4,2014
16958,2014-01-03,4,1534,0.6136,False,False,1,4,2014
16959,2014-01-03,5,1709,0.6836,False,False,1,4,2014
16960,2014-01-03,6,1887,0.7548,False,False,1,4,2014
16961,2014-01-03,7,1841,0.7364,False,False,1,4,2014
16962,2014-01-03,8,3042,1.2168,True,False,1,4,2014
16963,2014-01-03,9,2081,0.8324,False,False,1,4,2014
16964,2014-01-03,10,1012,0.4048,False,False,1,4,2014
16965,2014-01-03,11,2673,1.0692,True,False,1,4,2014
16966,2014-01-03,12,1171,0.4684,False,False,1,4,2014
16967,2014-01-03,13,946,0.3784,False,False,1,4,2014
16968,2014-01-03,14,1604,0.6416,False,False,1,4,2014
16969,2014-01-03,15,1393,0.5572,False,False,1,4,2014
16970,2014-01-03,16,1004,0.4016,False,False,1,4,2014
16971,2014-01-03,17,1162,0.4648,False,False,1,4,2014
16972,2014-01-03,18,1286,0.5144,False,False,1,4,2014
16973,2014-01-03,19,1244,0.4976,False,False,1,4,2014
16974,2014-01-03,23,1239,0.4956,False,False,1,4,2014
16975,2014-01-03,24,2687,1.0748,True,False,1,4,2014
16976,2014-01-03,25,1433,0.5732,False,False,1,4,2014
16977,2014-01-03,26,725,0.29,False,False,1,4,2014
16978,2014-01-03,27,1244,0.4976,False,False,1,4,2014
16979,2014-01-03,28,892,0.3568,False,False,1,4,2014
16980,2014-01-03,30,690,0.276,False,False,1,4,2014
16981,2014-01-03,31,1366,0.5464,False,False,1,4,2014
16982,2014-01-03,32,613,0.2452,False,False,1,4,2014
16983,2014-01-03,33,1173,0.4692,False,False,1,4,2014
16984,2014-01-03,34,2529,1.0116,True,False,1,4,2014
16985,2014-01-03,35,672,0.2688,False,False,1,4,2014
16986,2014-01-03,36,1035,0.414,False,False,1,4,2014
16987,2014-01-03,37,1756,0.7024,False,False,1,4,2014
16988,2014-01-03,38,1753,0.7012,False,False,1,4,2014
16989,2014-01-03,39,1392,0.5568,False,False,1,4,2014
16990,2014-01-03,40,1326,0.5304,False,False,1,4,2014
16991,2014-01-03,41,968,0.3872,False,False,1,4,2014
16992,2014-01-03,43,1808,0.7232,False,False,1,4,2014
16993,2014-01-03,44,4167,1.6668,True,False,1,4,2014
16994,2014-01-03,45,3927,1.5708,True,False,1,4,2014
16995,2014-01-03,46,3673,1.4692,True,False,1,4,2014
16996,2014-01-03,47,3914,1.5656,True,False,1,4,2014
16997,2014-01-03,48,3240,1.296,True,False,1,4,2014
16998,2014-01-03,49,2366,0.9464,False,False,1,4,2014
16999,2014-01-03,50,2580,1.032,True,False,1,4,2014
17000,2014-01-03,51,1679,0.6716,False,False,1,4,2014
17001,2014-01-03,54,798,0.3192,False,False,1,4,2014
17002,2014-01-04,1,1294,0.5176,False,False,1,5,2014
17003,2014-01-04,2,2254,0.9016,False,False,1,5,2014
17004,2014-01-04,3,3810,1.524,True,False,1,5,2014
17005,2014-01-04,4,1816,0.7264,False,False,1,5,2014
17006,2014-01-04,5,1783,0.7132,False,False,1,5,2014
17007,2014-01-04,6,2365,0.946,False,False,1,5,2014
17008,2014-01-04,7,1805,0.722,False,False,1,5,2014
17009,2014-01-04,8,3169,1.2676,True,False,1,5,2014
17010,2014-01-04,9,2587,1.0348,True,False,1,5,2014
17011,2014-01-04,10,1391,0.5564,False,False,1,5,2014
17012,2014-01-04,11,3095,1.238,True,False,1,5,2014
17013,2014-01-04,12,1362,0.5448,False,False,1,5,2014
17014,2014-01-04,13,1389,0.5556,False,False,1,5,2014
17015,2014-01-04,14,2164,0.8656,False,False,1,5,2014
17016,2014-01-04,15,1355,0.542,False,False,1,5,2014
17017,2014-01-04,16,1097,0.4388,False,False,1,5,2014
17018,2014-01-04,17,1534,0.6136,False,False,1,5,2014
17019,2014-01-04,18,1409,0.5636,False,False,1,5,2014
17020,2014-01-04,19,1957,0.7828,False,False,1,5,2014
17021,2014-01-04,23,1190,0.476,False,False,1,5,2014
17022,2014-01-04,24,2499,0.9996,False,False,1,5,2014
17023,2014-01-04,25,1613,0.6452,False,False,1,5,2014
17024,2014-01-04,26,810,0.324,False,False,1,5,2014
17025,2014-01-04,27,1568,0.6272,False,False,1,5,2014
17026,2014-01-04,28,1214,0.4856,False,False,1,5,2014
17027,2014-01-04,30,746,0.2984,False,False,1,5,2014
17028,2014-01-04,31,1573,0.6292,False,False,1,5,2014
17029,2014-01-04,32,691,0.2764,False,False,1,5,2014
17030,2014-01-04,33,1312,0.5248,False,False,1,5,2014
17031,2014-01-04,34,2643,1.0572,True,False,1,5,2014
17032,2014-01-04,35,749,0.2996,False,False,1,5,2014
17033,2014-01-04,36,1120,0.448,False,False,1,5,2014
17034,2014-01-04,37,1850,0.74,False,False,1,5,2014
17035,2014-01-04,38,2659,1.0636,True,False,1,5,2014
17036,2014-01-04,39,1921,0.7684,False,False,1,5,2014
17037,2014-01-04,40,1303,0.5212,False,False,1,5,2014
17038,2014-01-04,41,1184,0.4736,False,False,1,5,2014
17039,2014-01-04,43,1510,0.604,False,False,1,5,2014
17040,2014-01-04,44,5341,2.1364,True,False,1,5,2014
17041,2014-01-04,45,5081,2.0324,True,False,1,5,2014
17042,2014-01-04,46,5600,2.24,True,False,1,5,2014
17043,2014-01-04,47,5232,2.0928,True,False,1,5,2014
17044,2014-01-04,48,4581,1.8324,True,False,1,5,2014
17045,2014-01-04,49,3024,1.2096,True,False,1,5,2014
17046,2014-01-04,50,3772,1.5088,True,False,1,5,2014
17047,2014-01-04,51,2034,0.8136,False,False,1,5,2014
17048,2014-01-04,54,905,0.362,False,False,1,5,2014
17049,2014-01-05,1,489,0.1956,False,False,1,6,2014
17050,2014-01-05,2,2088,0.8352,False,False,1,6,2014
17051,2014-01-05,3,3634,1.4536,True,False,1,6,2014
17052,2014-01-05,4,1954,0.7816,False,False,1,6,2014
17053,2014-01-05,5,1669,0.6676,False,False,1,6,2014
17054,2014-01-05,6,2269,0.9076,False,False,1,6,2014
17055,2014-01-05,7,1572,0.6288,False,False,1,6,2014
17056,2014-01-05,8,2840,1.136,True,False,1,6,2014
17057,2014-01-05,9,2400,0.96,False,False,1,6,2014
17058,2014-01-05,10,1104,0.4416,False,False,1,6,2014
17059,2014-01-05,11,3187,1.2748,True,False,1,6,2014
17060,2014-01-05,12,1226,0.4904,False,False,1,6,2014
17061,2014-01-05,13,1030,0.412,False,False,1,6,2014
17062,2014-01-05,14,1330,0.532,False,False,1,6,2014
17063,2014-01-05,15,1135,0.454,False,False,1,6,2014
17064,2014-01-05,16,1203,0.4812,False,False,1,6,2014
17065,2014-01-05,17,1384,0.5536,False,False,1,6,2014
17066,2014-01-05,18,1411,0.5644,False,False,1,6,2014
17067,2014-01-05,19,1170,0.468,False,False,1,6,2014
17068,2014-01-05,23,1066,0.4264,False,False,1,6,2014
17069,2014-01-05,24,1770,0.708,False,False,1,6,2014
17070,2014-01-05,25,878,0.3512,False,False,1,6,2014
17071,2014-01-05,26,846,0.3384,False,False,1,6,2014
17072,2014-01-05,27,1715,0.686,False,False,1,6,2014
17073,2014-01-05,28,1523,0.6092,False,False,1,6,2014
17074,2014-01-05,30,658,0.2632,False,False,1,6,2014
17075,2014-01-05,31,1642,0.6568,False,False,1,6,2014
17076,2014-01-05,32,667,0.2668,False,False,1,6,2014
17077,2014-01-05,33,1264,0.5056,False,False,1,6,2014
17078,2014-01-05,34,2569,1.0276,True,False,1,6,2014
17079,2014-01-05,35,631,0.2524,False,False,1,6,2014
17080,2014-01-05,36,1165,0.466,False,False,1,6,2014
17081,2014-01-05,37,1395,0.558,False,False,1,6,2014
17082,2014-01-05,38,2722,1.0888,True,False,1,6,2014
17083,2014-01-05,39,1705,0.682,False,False,1,6,2014
17084,2014-01-05,40,1132,0.4528,False,False,1,6,2014
17085,2014-01-05,41,1317,0.5268,False,False,1,6,2014
17086,2014-01-05,43,1374,0.5496,False,False,1,6,2014
17087,2014-01-05,44,5123,2.0492,True,False,1,6,2014
17088,2014-01-05,45,4809,1.9236,True,False,1,6,2014
17089,2014-01-05,46,5223,2.0892,True,False,1,6,2014
17090,2014-01-05,47,5234,2.0936,True,False,1,6,2014
17091,2014-01-05,48,4701,1.8804,True,False,1,6,2014
17092,2014-01-05,49,2964,1.1856,True,False,1,6,2014
17093,2014-01-05,50,3176,1.2704,True,False,1,6,2014
17094,2014-01-05,51,2004,0.8016,False,False,1,6,2014
17095,2014-01-05,54,1107,0.4428,False,False,1,6,2014
17096,2014-01-06,1,1754,0.7016,False,False,1,0,2014
17097,2014-01-06,2,1764,0.7056,False,False,1,0,2014
17098,2014-01-06,3,3010,1.204,True,False,1,0,2014
17099,2014-01-06,4,1331,0.5324,False,False,1,0,2014
17100,2014-01-06,5,1440,0.576,False,False,1,0,2014
17101,2014-01-06,6,1630,0.652,False,False,1,0,2014
17102,2014-01-06,7,1819,0.7276,False,False,1,0,2014
17103,2014-01-06,8,2845,1.138,True,False,1,0,2014
17104,2014-01-06,9,1943,0.7772,False,False,1,0,2014
17105,2014-01-06,10,970,0.388,False,False,1,0,2014
17106,2014-01-06,11,2371,0.9484,False,False,1,0,2014
17107,2014-01-06,12,858,0.3432,False,False,1,0,2014
17108,2014-01-06,13,729,0.2916,False,False,1,0,2014
17109,2014-01-06,14,1468,0.5872,False,False,1,0,2014
17110,2014-01-06,15,1397,0.5588,False,False,1,0,2014
17111,2014-01-06,16,897,0.3588,False,False,1,0,2014
17112,2014-01-06,17,1171,0.4684,False,False,1,0,2014
17113,2014-01-06,18,1279,0.5116,False,False,1,0,2014
17114,2014-01-06,19,1216,0.4864,False,False,1,0,2014
17115,2014-01-06,23,1147,0.4588,False,False,1,0,2014
17116,2014-01-06,24,2475,0.99,False,False,1,0,2014
17117,2014-01-06,25,809,0.3236,False,False,1,0,2014
17118,2014-01-06,26,708,0.2832,False,False,1,0,2014
17119,2014-01-06,27,1196,0.4784,False,False,1,0,2014
17120,2014-01-06,28,1109,0.4436,False,False,1,0,2014
17121,2014-01-06,30,705,0.282,False,False,1,0,2014
17122,2014-01-06,31,1277,0.5108,False,False,1,0,2014
17123,2014-01-06,32,625,0.25,False,False,1,0,2014
17124,2014-01-06,33,1137,0.4548,False,False,1,0,2014
